# 日本漢字の単語→簡体字とされる文字を含む単語の対照表
#
# 以下は簡体字とされる文字を使うのが一般的とされる単語のリスト。
# 日本漢字から簡体字に変換するので簡体字を日本漢字に変換する処理が全て終わった後にこのリストで変換する。
変換前	変換後
北闘	北斗
南闘	南斗
誇父	夸父
犯衝	犯冲
