# 以下は単語単位で特定の文字に変換する言葉のリスト。
# 他の文字への変換より優先する為、最初にこのリストで変換する必要がある。
変換前	変換後
# 后	後
恢復	回復
拂尘	仏塵
惊蛰	啓蟄
谷雨	穀雨
轮回	輪廻
昆仑	崑崙
复仇	復仇
螭魅	魑魅
毛发	毛髪
头发	頭髪
裹胁	裹脅
威胁	威脅
诱胁	誘脅
胁迫	脅迫
战栗	戦慄
不寒而栗	不寒而慄
沈阳	瀋陽
构筑	構築
建筑	建築
修筑	修築
收获	収穫
