# 以下は単語単位で特定の簡体字に変換する言葉のリスト。
# 簡体字に変換するので簡体字を日本漢字に変換する処理が全て終わった後にこのリストで変換する必要がある。
変換前	変換後
北闘	北斗
南闘	南斗
誇父	夸父
犯衝	犯冲
